,Skrót nazwy placówki,Skrót nazwy jednostki,Regon placówki,Regon szkoły,RSPO placówki,Rspo,Nazwa placówki,Nazwa szkoły/ jednostki,Typ placówki,Typ jednostki,Kategoria uczniów,Jednostka specjalna,Bezpośredni nadzór,Miejscowość,Dzielnica,Miejski System Informacji,Ulica nazwa,Ulica nr,Nr Kodu,Imię dyrektora,Nazwisko dyrektora,Telefon,Faks,WWW,Strona BIP,E-mail,Numer jednostki,Placówka prowadzi internat/bursę,jednostka/zakład budż,Liczba uczniów,Liczba dzieci w oddziałach przedszkolnych,SUMA - Liczba uczniów i dzieci  ,Liczba oddziałów - uczniowie,Liczba oddziałów przedszkolnych,SUMA - Liczba oddziałów  ,Oddziały dwujęzyczne,Oddziały integracyjne,Oddziały sportowe,Oddziały mistrzostwa sportowego,Oddziały międzynarodowe,Oddziały specjalne,Oddziały specjalne przysposabiające do pracy,Oddziały terapeutyczne,Oddziały eksperymentalne,Oddzały przygotowania wojskowego,uwagi,Czy w zespole?,Typ jednostki (generalizacja),Uwzględniać na liście jednostek samodzielnych i złożonych?,Szkoły i przedszkola,samodzielna lub zespół - Czy szkoła lub przedszkole w składzie?,samodzielna lub zespół - Czy szkoła w składzie?,samodzielna lub zespół - Czy szkoła ponadpodstawowa w składzie?,samodzielna lub zespół - Czy przedszkole lub zespół z przedszkolem w składzie?,samodzielna lub zespół - Czy szkoła podstawowa (w tym muzyczna) w składzie?,samodzielna lub zespół - Czy liceum ogólnokształcące w składzie?,samodzielna lub zespół - Czy technikum w składzie?,samodzielna lub zespół - Czy branżowa szkoła I stopnia w składzie?,samodzielna lub zespół - Czy branżowa szkoła II stopnia w składzie?,samodzielna lub zespół - Czy szkoła policealna w składzie?,samodzielna lub zespół - Czy jednostka specjalna w składzie?,samodzielna lub zespół - Czy szkoła kształcąca w zawodzie w składzie?,Edukacyjna Wartość Dodana,RSPO - wyszukiwarka,obwód szkoły podstawowej,Teren działania poradni,Niepełnosprawność dominująca,"Jednostka ""przyszpitalna""","długość geograficzna 
(w stopniach)","szerokość geograficzna 
(w stopniach)",długość geograficzna (w metrach),szerokość geograficzna (w metrach),Wars i Sawa,"na obszarze Zintegrowanego Programu Rewitalizacji m.st. Warszaw do 2022 (Praga Północ, Praga Południe, Targówek)",Identyfikacja w systemie sprawozdawczości (ankietyBE),Czas pracy przedszkola - od,Czas pracy przedszkola - do
0,_AGRYKOLA,_AGRYKOLA_MOS_1,17316253.0,146735464.0,87072.0,115214.0,"Warszawskie Centrum Sportu Młodzieżowego ""Agrykola""","Międzyszkolny Ośrodek Sportowy nr 1 ""Agrykola""",zespół lub jednostka złożona,międzyszkolny ośrodek sportowy,dzieci lub młodzież,nie,Biuro Edukacji,Warszawa,Śródmieście,Ujazdów,ul. Myśliwiecka,9,00-459,Mirosław,Robak,226229107,226229106,http://agrykola-noclegi.pl,http://www.agrykola-noclegi.pl/pl/s307/BIP.html,sekretariat.agrykola@gmail.com,1.0,nie,jednostka budżetowa,,,,,,,,,,,,,,,,,,w zespole,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,,,https://rspo.gov.pl/rspo/115214,,Poradnia Psychologiczno-Pedagogiczna nr 11,,,"21,03518105","52,2205697","7502404,136","5787441,134",,,1059.0,,
2,_AGRYKOLA,_AGRYKOLA_SSM_1,17316253.0,146735398.0,87072.0,115215.0,"Warszawskie Centrum Sportu Młodzieżowego ""Agrykola""",Szkolne Schronisko Młodzieżowe nr 1,zespół lub jednostka złożona,szkolne schronisko młodzieżowe,dzieci lub młodzież,nie,Biuro Edukacji,Warszawa,Śródmieście,Ujazdów,ul. Myśliwiecka,9,00-459,Mirosław,Robak,226229110,226229105,http://agrykola-noclegi.pl,http://www.agrykola-noclegi.pl/pl/s307/BIP.html,recepcja@agrykola-noclegi.pl,1.0,nie,jednostka budżetowa,,,,,,,,,,,,,,,,,,w zespole,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,,,https://rspo.gov.pl/rspo/115215,,Poradnia Psychologiczno-Pedagogiczna nr 11,,,"21,03518105","52,2205697","7502404,136","5787441,134",,,1060.0,,
3,_BS_04,_BS_04,11782304.0,11782304.0,86891.0,86891.0,Bursa Szkolna nr 4,Bursa Szkolna nr 4,bursa internat,bursa internat,dzieci lub młodzież,nie,Biuro Edukacji,Warszawa,Wola,Koło,ul. Księcia Janusza,45/47,01-452,Piotr,Iwiński,228361813,,http://www.bursa4.waw.pl,http://bursa4.bip.um.warszawa.pl,bursa4@bursa4.waw.pl,4.0,tak,jednostka budżetowa,,,,,,,,,,,,,,,,,,samodzielna,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,,,https://rspo.gov.pl/rspo/86891,,Poradnia Psychologiczno-Pedagogiczna nr 2,,,"20,93906199","52,24519512","7495838,123","5790182,204",,,484.0,,
4,_BS_05,_BS_05,192407.0,192407.0,86886.0,86886.0,Bursa nr 5 im. ppłk mgr inż. Grażyny Lipińskiej,Bursa nr 5 im. ppłk mgr inż. Grażyny Lipińskiej,bursa internat,bursa internat,dzieci lub młodzież,nie,Biuro Edukacji,Warszawa,Praga Południe,Grochów,ul. Zagójska,3,04-160,Marta,Baj,228108488,228108488,http://www.bursa5.edu.pl,http://bursa5.bip.um.warszawa.pl,bursa@bursa.edu.pl,5.0,tak,jednostka budżetowa,,,,,,,,,,,,,,,,,,samodzielna,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,,,https://rspo.gov.pl/rspo/86886,,Poradnia Psychologiczno – Pedagogiczna nr 16,,,"21,09207759","52,24132095","7506289,161","5789753,397",,,119.0,,
5,_BS_06,_BS_06,192590.0,192590.0,86890.0,86890.0,Bursa nr 6,Bursa nr 6,bursa internat,bursa internat,dzieci lub młodzież,nie,Biuro Edukacji,Warszawa,Wola,Powązki,ul. Okopowa,55A,01-043,Edyta,Pałubińska,228389596,228389596,http://www.bursa6.edu.pl,http://bursa6.bip.um.warszawa.pl,biuro@bursa6.edu.pl,6.0,tak,jednostka budżetowa,,,,,,,,,,,,,,,,,,samodzielna,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,,,https://rspo.gov.pl/rspo/86890,,Poradnia Psychologiczno – Pedagogiczna nr 14,,,"21,02324941","52,23294041","7501588,3","5788817,209",,,120.0,,
6,_MBFO,_MBFO,15752866.0,15752866.0,108574.0,108574.0,Miejskie Biuro Finansów Oświaty m.st. Warszawy,Miejskie Biuro Finansów Oświaty m.st. Warszawy,biuro finansów oświaty,biuro finansów oświaty,bez kategorii,nie,Biuro Edukacji,Warszawa,Śródmieście,Śródmieście Południowe,ul. Mokotowska,55,00-542,Joanna,Wiśniewska,226969015,226213045,https://www.mbfo.waw.pl/index.php,http://mbfo.bip.um.warszawa.pl,mbfo@um.warszawa.pl,,nie,jednostka budżetowa,,,,,,,,,,,,,,,,,,samodzielna,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,,,,,,,,"21,02131992","52,22512564","7501456,741","5787947,673",,,875.0,,
7,_MOSOC_01,_MOSOC_01_LO_61,1396603.0,15840702.0,14120.0,103822.0,"Młodzieżowy Ośrodek Socjoterapii nr 1 ""SOS""",LXI Liceum Ogólnokształcące Specjalne im. Janiny Zawadowskiej,zespół lub jednostka złożona,liceum ogólnokształcące,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Mokotów,Stary Mokotów,ul. Różana,22/24,02-569,Mariola,Tomczak,222771830,,http://www.mossos.pl,http://www.bip.mossos1.pl,sekretariat@mossos.pl,61.0,tak,jednostka budżetowa,178.0,,178.0,15.0,,15.0,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,,w zespole,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,tak,,,https://rspo.gov.pl/rspo/103822,,Poradnia Psychologiczno-Pedagogiczna nr 7,zagrożeni niedostosowaniem społecznym,,"21,01686186","52,20273505","7501152,712","5785456,352",,,404.0,,
8,_MOSOC_02,_MOSOC_02_LO_85,13300019.0,15896803.0,14202.0,105291.0,"Młodzieżowy Ośrodek Socjoterapii nr 2 ""KĄT""",LXXXV Liceum Ogólnokształcące Specjalne,zespół lub jednostka złożona,liceum ogólnokształcące,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Wawer,Anin,ul. Zorzy,17,04-639,Daria,Chmiel,226133576,226133542,http://www.moskat.pl,http://most2.bip.um.warszawa.pl,mos2kat@moskat.pl,85.0,tak,jednostka budżetowa,190.0,,190.0,15.0,,15.0,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,,w zespole,szkoła ponadpodstawowa,tak,SP-LO-,tak,tak,tak,,tak,tak,,,,,tak,,,https://rspo.gov.pl/rspo/105291,,Poradnia Psychologiczno-Pedagogiczna nr 17,zagrożeni niedostosowaniem społecznym,,"21,16914749","52,21661247","7511559,662","5787013,744",,,824.0,,
9,_MOSOC_02,_MOSOC_02_SP_393,13300019.0,367990142.0,14202.0,196263.0,"Młodzieżowy Ośrodek Socjoterapii nr 2 ""KĄT""",Szkoła Podstawowa Specjalna nr 393,zespół lub jednostka złożona,szkoła podstawowa,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Wawer,Anin,ul. Zorzy,17,04-639,Daria,Chmiel,226133576,226133542,http://www.moskat.pl,http://most2.bip.um.warszawa.pl,mos2kat@moskat.pl,393.0,tak,jednostka budżetowa,7.0,,7.0,1.0,,1.0,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,,w zespole,szkoła podstawowa (w tym muzyczna),tak,SP-LO-,tak,tak,tak,,tak,tak,,,,,tak,,,https://rspo.gov.pl/rspo/196263,,Poradnia Psychologiczno-Pedagogiczna nr 17,zagrożeni niedostosowaniem społecznym,,"21,16914749","52,21661247","7511559,662","5787013,744",,,2554.0,,
10,_MOSOC_03,_MOSOC_03_SP_39,10385699.0,1073521.0,14213.0,105293.0,"Młodzieżowy Ośrodek Socjoterapii nr 3 ""Dom na Trakcie"" im. prof. dr Stanisława Jedlewskiego",Szkoła Podstawowa Specjalna nr 39,zespół lub jednostka złożona,szkoła podstawowa,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Wawer,Nadwiśle,Trakt Lubelski,40,04-870,Anna,Kosiorek,228729367,228729367,http://domnatrakcie.pl,http://www.domnatrakcie.pl/bip.html,sekretariat@domnatrakcie.pl,39.0,tak,jednostka budżetowa,29.0,,29.0,4.0,,4.0,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,,w zespole,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,tak,,,https://rspo.gov.pl/rspo/105293,,Poradnia Psychologiczno-Pedagogiczna nr 17,zagrożeni niedostosowaniem społecznym,,"21,15314484","52,17691518","7510475,385","5782594,496",,,442.0,,
